nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian,lat,lon,competition_count,competition_density,dotace_had,dotace_last_year,dotace_total_czk,score_total,score_dotace,score_size,score_vz_gap,score_region,score_competition,pristup,pristup_label,priorita,rank
"Střední škola obchodu, služeb a řemesel a Jazyková škola s právem státní jazykové zkoušky, Tábor, Bydlinského 2474","SŠ obch.,služeb a řemes. a JŠ s práv.SJZ",130001236,75050099,C00,Střední škola,Jihočeský kraj,Tábor,Tábor,Chýnovská 2945,39002,1400.0,979,podatelna@ssjs-tabor.cz,,,Jihočeský kraj,7,Mgr. Radek Cícha,2005-01-01,19824386.0,49.4077788,14.6895993,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,58
"Střední škola obchodní, České Budějovice, Husova 9","Střední škola obchodní, České Budějovice, Husova 9",000510874,00510874,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,Třebízského 942,37006,1500.0,1050,sekretariat@sso.cz,,,Jihočeský kraj,7,Mgr. Jarmila Benýšková,2005-01-01,25177478.0,48.9722315,14.5066655,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,59
"Vyšší odborná škola, Střední průmyslová škola a Střední odborná škola řemesel a služeb, Strakonice, Zvolenská 934","VOŠ, SPŠ a SOŠ řemesel a služeb",181033577,72549581,C00,Střední škola,Jihočeský kraj,Strakonice,Strakonice,Želivského 291,38601,1000.0,700,pilecek@ssst.cz,,,Jihočeský kraj,7,Ing. Miloslav Pileček,2011-12-16,18433529.0,49.2648129,13.9011479,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,60
"Základní škola Máj II, M. Chlajna 23, České Budějovice",Základní škola Máj II,000581551,00581551,B00,Základní škola,Jihočeský kraj,České Budějovice,České Budějovice,M. Chlajna 1347,37005,1250.0,875,kancelar@zsmaj2.cz,,,Statutární město České Budějovice,2,Mgr. Šárka Straňáková,2005-01-01,23355417.0,48.9863994,14.4316421,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,61
"Střední škola polytechnická, České Budějovice, Nerudova 59",Střední škola polytechnická,000582336,00582336,C00,Střední škola,Jihočeský kraj,České Budějovice,České Budějovice,Jírovcova 64,37004,1000.0,700,sekretariat@sspcb.cz,,,Jihočeský kraj,7,Ing. Luboš Kubát,2005-01-01,,48.987284,14.4792764,0,0.5,False,,0,58.5,0.0,25.0,15.0,13.5,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,62
"Základní škola T. G. Masaryka Poděbrady, Školní 556, okres Nymburk",Základní škola T. G. Masaryka,000498483,61631477,B00,Základní škola,Středočeský kraj,Nymburk,Poděbrady,Žižkova 1252,29001,930.0,651,sykora@zstgmpodebrady.cz,,,Město Poděbrady,2,Mgr. Vlastislav Sýkora,2005-01-01,30579716.0,50.1509779,15.1345675,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,63
"Základní škola s rozšířenou výukou jazyků, Praha 4, Filosofská 3, příspěvková organizace",ZŠ s rozš. výukou jazyků,102101256,60435917,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Filosofská 1166,14200,750.0,525,skola@zsfilosofska.cz,,,Městská část Praha 4,2,PaedDr. Václava Mašková,2005-01-01,21808546.0,50.0231486,14.4304232,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,64
"Základní škola, Praha 4, Jižní IV., 10",Základní škola,102101523,61384828,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Jižní IV 1750,14100,820.0,574,reditel@zsjizni.cz,,,Městská část Praha 4,2,Mgr. Daniel Kaiser,2005-01-01,21993475.0,50.0454615,14.4832998,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,65
"Základní škola Bělá pod Bezdězem, příspěvková organizace",Základní škola,102326631,70936838,B00,Základní škola,Středočeský kraj,Mladá Boleslav,Bělá pod Bezdězem,Máchova 1110,29421,800.0,560,zs@zsbela.cz,,,Město Bělá pod Bezdězem,2,Mgr. Václav Špetlík,2005-01-01,18867626.0,50.5067322,14.7954405,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,66
"Gymnázium, Praha 7, Nad Štolou 1",Gymnázium,061385476,61385476,C00,Střední škola,Hlavní město Praha,CZ0107,Praha,Nad Štolou 1510,17000,960.0,672,dana.tvrska@gymstola.cz,,,Hlavní město Praha,7,PhDr. Renata Schejbalová,2005-01-01,22312471.0,50.0975075,14.4220222,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,67
"Sportovní gymnázium, Kladno, Plzeňská 3103",Sportovní gymnázium,110037529,61894737,C00,Střední škola,Středočeský kraj,Kladno,Kladno,Plzeňská 3103,27201,720.0,503,sgagy@volny.cz,,,Středočeský kraj,7,Mgr. Květoslava Havlůjová,2005-01-01,1441558.0,50.1345963,14.0973363,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,68
Gymnázium bratří Čapků a První české soukromé střední odborné učiliště s.r.o.,Gymn. bří Čapků a První české soukr. SOU,012583731,25100289,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,Milánská 418,10900,860.0,602,skola@gbc-pcssou.cz,,,,5,PhDr. Lenka Andrlová,2005-01-01,25065254.0,50.0424774,14.5555035,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,69
"Základní škola Neratovice, 28. října 1157, okres Mělník",Základní škola,102286141,70888094,B00,Základní škola,Středočeský kraj,Mělník,Neratovice,28. října 1157,27711,960.0,672,info@3zsneratovice.cz,,,Město Neratovice,2,Mgr. Radka Millerová,2005-01-01,6249451.0,50.2541588,14.51079,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,70
"ART ECON - Gymnázium a Střední odborná škola Praha, s.r.o.","ART ECON - Gymnázium a SOŠ Praha, s.r.o.",045796955,45796955,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Tomíčkova 2144,14800,856.0,599,praha@artecon.cz,,,,5,Mgr. Petr Procházka,2005-01-01,21847011.0,50.0389006,14.4759763,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,71
Střední průmyslová škola na Proseku,Střední průmyslová škola na Proseku,014891221,14891239,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Novoborská 610,19000,720.0,503,sps-prosek@sps-prosek.cz,,,Hlavní město Praha,7,Ing. Lukáš Procházka,2005-01-01,22507507.0,50.1248016,14.50219,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,72
"Gymnázium, Praha 10, Voděradská 2",Gymnázium,000638200,61385361,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,Voděradská 900,10000,730.0,510,info@gymvod.cz,,,Hlavní město Praha,7,Vít Růžička,2005-01-01,22609725.0,50.0693195,14.4965905,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,73
"Základní škola Kralupy nad Vltavou, Gen. Klapálka 1029, okres Mělník, příspěvková organizace",Základní škola,102274932,71009922,B00,Základní škola,Středočeský kraj,Mělník,Kralupy nad Vltavou,Gen. Klapálka 1029,27801,790.0,553,michaela.gleichova@zsgenklapalka.cz,,,Město Kralupy nad Vltavou,2,Ing. Michaela Gleichová,2005-01-01,6229301.0,50.2388698,14.2990445,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,74
Základní škola generála Františka Fajtla DFC,ZŠ generála Františka Fajtla DFC,102301786,60446005,B00,Základní škola,Hlavní město Praha,CZ0109,Praha,Rychnovská 350,19900,810.0,567,reditelna@zsfajtla.cz,,,Městská část Praha 18,2,Mgr. Eva Duchková,2005-01-01,22494936.0,50.135082,14.5111011,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,75
"ŠKOLA EU PRAHA, střední odborná škola a gymnázium",SKOLAEUPRAHA,110026012,14891247,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Lipí 1911,19300,930.0,651,skola@skolaeupraha.cz,,,Hlavní město Praha,7,"PhDr. Roman Liška, Ph.D.",2005-01-01,30475392.0,50.1130759,14.6108864,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,76
Střední zdravotnická škola,Střední zdravotnická škola,110031008,00638765,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,Ruská 2200,10000,770.0,539,sekretariat@szs-ruska.cz,,,Hlavní město Praha,7,"PhDr. et Mgr. Ivanka Kohoutová, Ph.D.",2005-01-01,22653643.0,50.0739283,14.4789566,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,77
"Základní škola Mladá Boleslav, Václavkova 1082, příspěvková organizace",Základní škola,102326959,75034018,B00,Základní škola,Středočeský kraj,Mladá Boleslav,Mladá Boleslav,Václavkova 1082,29301,870.0,609,zs7mb@seznam.cz,,,Statutární město Mladá Boleslav,2,Mgr. Lukáš Zahrada,2005-01-01,21251533.0,50.4248358,14.9043367,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,78
"Gymnázium, Praha 9, Českolipská 373",Gymnázium,108001342,60445475,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Českolipská 373,19000,720.0,503,info@ceskolipska.cz,,,Hlavní město Praha,7,PaedDr. Věra Ježková,2005-01-01,25936671.0,50.1263462,14.4999289,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,79
"Základní škola, Základní umělecká škola a Mateřská škola, Stochov","ZŠ, ZUŠ a MŠ",102102741,70989613,B00,Základní škola,Středočeský kraj,Kladno,Stochov,Jaroslava Šípka 387,27303,835.0,584,sekretariat@zsstochov.cz,,,Město Stochov,2,Mgr. Lukáš Valda,2005-01-01,11356197.0,50.147655,13.9541688,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,80
"Základní škola Dr. Edvarda Beneše Mladá Boleslav, Laurinova 905, příspěvková organizace",Základní škola Dr. Edvarda Beneše,102326908,62451511,B00,Základní škola,Středočeský kraj,Mladá Boleslav,Mladá Boleslav,Žižkova 1327,29301,850.0,595,skola@zsbenese.cz,,,Statutární město Mladá Boleslav,2,Mgr. Brigita Šulcová,2005-01-01,24967998.0,50.4131538,14.9181113,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,81
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Praha 4, 5. května 51",VOŠ zdravotnická a Střední zdrav.škola,110031067,00638722,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,5. května 200,14000,920.0,644,sekretariat@szs5kvetna.cz,,,Hlavní město Praha,7,Mgr. Renáta Volfová,2005-01-01,21942471.0,50.0597022,14.4327389,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,82
Základní škola a mateřská škola Na Beránku v Praze 12,ZŠ a MŠ Na Beránku,102425094,61386685,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Pertoldova 3373,14300,796.0,557,naberanku@naberanku.cz,,,Městská část Praha 12,2,Mgr. Jiří Soukup,2005-01-01,21940274.0,50.0012299,14.432428,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,83
"Střední škola hotelnictví a gastronomie SČMSD Praha, s.r.o.","Střední škola SČMSD Praha, s.r.o.",110380339,49615378,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Slavětínská 82,19014,730.0,510,jurikova@hotelova-skola.cz,,,,5,Mgr. Eva Juríková,2005-01-01,22469028.0,50.0903079,14.6663756,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,84
"Základní škola, Praha 10, Hostýnská 2100/2, příspěvková organizace",Základní škola,047611171,47611171,B00,Základní škola,Hlavní město Praha,CZ01100,Praha,Hostýnská 2100,10800,750.0,525,skola@hostynska.cz,,,Městská část Praha 10,2,Mgr. Štěpán Peterka,2005-01-01,22624571.0,50.0799247,14.4954364,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,85
"Základní škola a Mateřská škola Nymburk, Komenského 589 - příspěvková organizace",Základní škola a Mateřská škola,102386251,49862570,B00,Základní škola,Středočeský kraj,Nymburk,Nymburk,Komenského 1565,28802,810.0,567,info@zs-komenskeho.cz,,,Město Nymburk,2,Mgr. Jan Petřík,2005-01-01,1227131.0,50.1902712,15.0411731,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,86
"TRIVIS - Střední škola veřejnoprávní a Vyšší odborná škola prevence kriminality a krizového řízení Praha, s.r.o.","TRIVIS-SŠ veřejnoprávní a  VOŠ, s.r.o.",049356062,25109138,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Hovorčovická 1281,18200,900.0,630,praha@trivis.cz,,,,5,Mgr. Jan Dalecký,2005-01-01,22370099.0,50.1284167,14.4435573,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,87
"Střední škola Futurum, s.r.o.","Střední škola Futurum, s.r.o.",016996593,25142771,C00,Střední škola,Hlavní město Praha,CZ010A,Praha,Za Poříčskou bránou 256,18600,770.0,539,katerina.ondrackova@spgsfuturum.cz,,,,5,MgA. Kateřina Ondráčková,2005-01-01,22351230.0,50.0904988,14.4399556,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,88
Soukromá střední škola a základní škola (1. KŠPA) Praha s.r.o.,Soukromá SŠ a ZŠ (1. KŠPA) Praha s.r.o.,110007786,25108476,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Chabařovická 1125,18200,740.0,518,praha@1kspa.cz,,,,5,Mgr. Šimon Zajíc,2005-01-01,22368477.0,50.1313606,14.4756259,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,89
"Základní škola, Praha 4, Mikulova 1594",Základní škola,102113131,61388459,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Mikulova 1594,14900,720.0,503,pacherova@zsmikulova.cz,,,Městská část Praha 11,2,Mgr. Michaela Pacherová,2005-01-01,21841489.0,50.0299422,14.5133044,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,90
"Soukromá střední odborná škola a Soukromé střední odborné učiliště BEAN, s.r.o.","Soukr. SOŠ a Soukr. SOU BEAN, s.r.o.",110007808,25641034,C00,Střední škola,Hlavní město Praha,CZ01100,Praha,U Domu služeb 166,14300,800.0,560,dostal@bean.cz,,,,5,Ing. Jan Dostál,2005-01-01,21916144.0,50.0047831,14.4057121,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,91
"Základní škola, Praha 4, Donovalská 1684",Základní škola,102385050,61388408,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Donovalská 1684,14900,850.0,595,info@donovalskazs.cz,,,Městská část Praha 11,2,"Mgr. Tomáš Marek, DiS.",2005-01-01,21842400.0,50.0371349,14.5032932,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,92
"Základní škola J. A. Komenského Lysá nad Labem, Komenského 1534, okres Nymburk",Základní škola J. A. Komenského,102386099,61632244,B00,Základní škola,Středočeský kraj,Nymburk,Lysá nad Labem,Komenského 1534,28922,764.0,534,info@zsjaklysa.cz,,,Město Lysá nad Labem,2,Mgr. Martina Ondrušková,2005-01-01,18313124.0,50.2047904,14.8399127,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,93
"Základní škola U Krčského lesa, Praha 4, Jánošíkova 1320",Základní škola U Krčského lesa,047611642,47611642,B00,Základní škola,Hlavní město Praha,CZ01100,Praha,Jánošíkova 1320,14200,760.0,532,skola@zsukrcskeholesa.cz,,,Městská část Praha 4,2,Ing. Dagmar Malinová,2005-01-01,21870471.0,50.0220903,14.4590895,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,94
"Základní škola a mateřská škola, Praha 3, nám. Jiřího z Lobkovic 22/121",Základní škola a mateřská škola,045241155,63831406,B00,Základní škola,Hlavní město Praha,CZ0103,Praha,náměstí Jiřího z Lobkovic 121,13000,725.0,507,skola@lobkovicovo.cz,,,Městská část Praha 3,2,Ing.  Kateřina Mikulková,2005-01-01,21759561.0,50.0768621,14.4670446,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,95
"Základní škola, Praha 4, Jílovská 1100",Základní škola,045251436,61384216,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Jílovská 1100,14200,750.0,525,reditel@zsjilovska.cz,,,Městská část Praha 4,2,Mgr. Petr Hamáček,2005-01-01,21807884.0,50.0256122,14.4291367,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,96
"Základní škola Slaný, Rabasova 821, okres Kladno",Základní škola,102102163,43776752,B00,Základní škola,Středočeský kraj,Kladno,Slaný,Rabasova 821,27401,750.0,525,reditel@3zsslany.cz,,,Město Slaný,2,Mgr. Martin Hrabánek,2005-01-01,6040331.0,50.2273725,14.0708088,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,97
"Střední zemědělská škola a Střední odborné učiliště Čáslav, příspěvková organizace",Střední zemědělská škola a Střední odbor. učiliště,049797999,49797999,C00,Střední škola,Středočeský kraj,Kutná Hora,Čáslav,Sadová 1234,28601,984.0,688,hornicek@szescaslav.cz,,,Středočeský kraj,7,Ing. Jaromír Horníček,2005-01-01,11632691.0,49.9024904,15.3934668,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,98
Základní škola Unhošť,Základní škola,102102554,75135540,B00,Základní škola,Středočeský kraj,Kladno,Unhošť,Komenského 622,27351,790.0,553,zsunhost@zsunhost.cz,,,Město Unhošť,2,PhDr. Radka Plasová,2005-01-01,6017401.0,50.0873055,14.126799,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,99
"Základní škola s rozšířenou výukou tělesné výchovy, Praha 4, Jitřní 185, příspěvková organizace",ZŠ s rozšířenou výukou Tv,181098733,06548733,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Jitřní 185,14700,780.0,546,skola@zsjitrni.cz,,,Městská část Praha 4,2,Mgr. Milena Hartigová,2018-07-09,21824118.0,50.0242769,14.4134603,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,100
"Základní škola Benešov, Dukelská 1818",Základní škola,102002185,75033071,B00,Základní škola,Středočeský kraj,Benešov,Benešov,Dukelská 1818,25601,990.0,693,zsben@zsben.cz,,,Město Benešov,2,PaedDr. Hana Procházková,2005-01-01,2949105.0,49.7830484,14.6824309,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,101
"Základní škola Benešov, Jiráskova 888",Základní škola,102002207,75033062,B00,Základní škola,Středočeský kraj,Benešov,Benešov,Jiráskova 888,25601,820.0,574,zsjiraskova@seznam.cz,,,Město Benešov,2,Mgr. Petr Šedivý,2005-01-01,2941163.0,49.7807928,14.6881636,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,102
"Střední odborná škola a Střední odborné učiliště, Dubno",SOŠ a SOU,110450931,00659771,C00,Střední škola,Středočeský kraj,Příbram,Dubno,None 100,26101,800.0,560,reditel@dubno.cz,,,Středočeský kraj,7,Mgr. Petra Neubergová,2005-01-01,22859560.0,49.6958519,14.0517442,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,103
"Základní škola Kladno, Brjanská 3078",Základní škola,102102236,61894494,B00,Základní škola,Středočeský kraj,Kladno,Kladno,Brjanská 3078,27204,800.0,560,zs12@12zskladno.cz,,,Statutární město Kladno,2,Mgr. Petra Hejkalová,2005-01-01,1412060.0,50.1425025,14.0709775,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,104
"Základní škola, Praha 10, Veronské náměstí 391",Základní škola,047609745,63831678,B00,Základní škola,Hlavní město Praha,CZ010A,Praha,Veronské nám. 391,10900,837.0,585,zsvn@zsvn.cz,,,Městská část Praha 15,2,Mgr. Jitka Urbánková,2005-01-01,22563571.0,50.0405735,14.5625789,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,105
"Základní škola, Praha 3, Jeseniova 96/2400",Základní škola,102073406,63831341,B00,Základní škola,Hlavní město Praha,CZ0103,Praha,Norbertov 130,16200,917.0,641,reditelka@zsjeseniova.cz,,,Městská část Praha 3,2,Mgr. Vendula Jurášková,2005-01-01,22256407.0,50.0919899,14.3769006,0,0.5,False,,0,57.5,0.0,22.5,15.0,15.0,5.0,PM,🟢 Poptávkové řízení — oslovit ASAP,A,106
