nazev,nazev_zkrac,izo,ico,druh,druh_nazev,kraj,okres,obec,ulice,psc,kapacita,pocet_zaku,email,telefon,web,zrizovatel,zrizovatel_typ,reditel,datum_vzniku,rúian
Střední škola gastronomická a hotelová s.r.o.,SŠ gastronomická a hotelová s.r.o.,108029417,25097547,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Mikuleckého 1314,14700,3244.0,2270,info@ssgh.cz,,,,5,PhDr. Karel Vratišovský,2005-01-01,21810125.0
"Střední odborné učiliště, Praha 4, Ohradní 57",Střední odborné učiliště,014891531,14891531,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Ohradní 126,14000,450.0,315,dvorak_k@volny.cz,,,Hlavní město Praha,7,Karel Dvořák,2005-01-01,21903573.0
"Klasické gymnázium Modřany a základní škola, s.r.o.",Klasické gymnázium Modřany a ZŠ,110007778,61054682,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Rakovského 3136,14300,600.0,420,sramek@kgm.cz,,,,5,Mgr. Lenka Rousková,2005-01-01,21937931.0
"Klasické gymnázium Modřany a základní škola, s.r.o.",Klasické gymnázium Modřany a ZŠ,181077272,61054682,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Rakovského 3136,14300,150.0,105,sramek@kgm.cz,,,,5,Mgr. Lenka Rousková,2016-02-10,21937931.0
Střední škola managementu a služeb s.r.o.,SŠ managementu a služeb a ZŠ s.r.o.,110001648,25140493,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Ekonomická 957,14800,1030.0,721,sousos@sousos.cz,,,,5,Ing. Tamara Krčmářová,2005-01-01,21884897.0
"EDUCAnet - gymnázium, střední odborná škola a základní škola Praha, s.r.o.","EDUCAnet-gymn., SOŠ a ZŠ Praha, s.r.o.",110036514,25147846,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Jírovcovo náměstí 1782,14800,440.0,308,jakub.pour@educanet.cz,,,,5,"Mgr. Jakub Pour, MBA",2005-01-01,21843392.0
"EDUCAnet - gymnázium, střední odborná škola a základní škola Praha, s.r.o.","EDUCAnet-gymn., SOŠ a ZŠ Praha, s.r.o.",181035669,25147846,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,Roztylská 1860,14800,239.0,167,jakub.pour@educanet.cz,,,,5,"Mgr. Jakub Pour, MBA",2012-03-16,21844186.0
Metropolitní odborná umělecká střední škola Praha 4 s.r.o.,Metropolitní odbor. umělec. SŠ,041193041,25638530,C00,Střední škola,Hlavní město Praha,CZ01100,Praha,Americká 625,12000,440.0,308,jfkocka@seznam.cz,,,,5,Mgr. Martin Vozný,2005-01-01,21745960.0
"Gymnázium, Praha 4, Budějovická 680",Gymnázium,000335479,00335479,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Budějovická 680,14000,700.0,489,jan.jicha@gybu.cz,,,Hlavní město Praha,7,Mgr. Jan Jícha,2005-01-01,22712283.0
"Střední škola Podnikatelská akademie, s.r.o.","SŠ Podnikatel.akademie, s.r.o.",044796277,25604325,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,K Milíčovu 674,14900,300.0,210,skola@podnikakademie.cz,,,,5,"Mgr. Kateřina Horáková, Ph.D.",2005-01-01,21820121.0
"MICHAEL - Střední škola, Gymnázium a Vyšší odborná škola, s.r.o.","MICHAEL - SŠ, Gymnázium a VOŠ, s.r.o.",108029344,25607375,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Na Pankráci 420,14000,730.0,510,info@skolamichael.cz; hrubesovam@skolamichael.cz,,,,5,Ing. Monika Hrubešová,2005-01-01,21944172.0
Akademie řemesel Praha - Střední škola technická,Akademie řemesel Praha - SŠ technická,007810041,14891522,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Zelený pruh 1294,14700,1400.0,979,dmatonoha@zelenypruh.cz,,,Hlavní město Praha,7,Ing. Drahoslav Matonoha,2005-01-01,21870217.0
"Škola Kavčí hory - Mateřská škola, Základní škola a Střední odborná škola služeb, Praha 4, K Sídlišti 840","Škola Kavčí hory - MŠ, ZŠ a SOŠ služeb",048134023,48134023,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,K sídlišti 840,14000,295.0,206,m.hudecova@ksidlisti.cz,,,Městská část Praha 4,2,Mgr.  Martina Hudecová,2005-01-01,21967211.0
"Škola Kavčí hory - Mateřská škola, Základní škola a Střední odborná škola služeb, Praha 4, K Sídlišti 840","Škola Kavčí hory - MŠ, ZŠ a SOŠ služeb",102101337,48134023,B00,Základní škola,Hlavní město Praha,CZ0104,Praha,K sídlišti 840,14000,410.0,287,m.hudecova@ksidlisti.cz,,,Městská část Praha 4,2,Mgr.  Martina Hudecová,2005-01-01,21967211.0
"Škola mezinárodních a veřejných vztahů Praha, Střední odborná škola, Gymnázium, s.r.o.","Škola MVV, SOŠ, Gymnázium, s.r.o.",110001621,25133241,C00,Střední škola,Hlavní město Praha,CZ0104,Praha,Michelská 22,14000,485.0,339,michalikova@smvvpraha.cz,,,,5,Mgr. Vladimíra Michalíkova,2005-01-01,21902895.0
Evangelická akademie - pedagogické lyceum a střední odborná škola,Evangelická akademie - pedagogické lyceum a SOŠ,045247226,45247226,C00,Střední škola,Hlavní město Praha,CZ01100,Praha,Dunická 3136,14100,300.0,210,skola@eapraha.cz,,,Českobratrská církev evangelická,6,ThLic. Tomáš Biňovec,2005-01-01,22714596.0
"Soukromé střední odborné učiliště ATHOZ, spol. s r.o.","Soukromé SOU ATHOZ, spol. s r.o.",108029395,61456217,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Pelušková 1410,19800,90.0,62,sarapatkova@athoz.cz,,,,5,Pavla Šarapatková,2005-01-01,25102567.0
"Gymnázium, Praha 5, Na Zatlance 11",Gymnázium,061385271,61385271,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Na Zatlance 1330,15000,650.0,454,radek.bily@zatlanka.cz,,,Hlavní město Praha,7,Mgr. Dagmar Škorpíková,2005-01-01,22088814.0
"Gymnázium Oty Pavla, Praha 5, Loučanská 520",Gymnázium Oty Pavla,061384992,61384992,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,náměstí Osvoboditelů 1740,15300,390.0,273,jana.hrkalova@gop.cz,,,Hlavní město Praha,7,RNDr. Jana Hrkalová,2005-01-01,82217343.0
Gymnázium Christiana Dopplera,Gymnázium Christiana Dopplera,061385701,61385701,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Zborovská 621,15000,640.0,448,office@gchd.cz,,,Hlavní město Praha,7,"RNDr. Petr Pudivítr, Ph.D.",2005-01-01,22039741.0
"Gymnázium Jaroslava Heyrovského, Praha 5, Mezi Školami 2475",Gymnázium Jaroslava Heyrovského,060446234,60446234,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Mezi školami 2475,15800,792.0,554,bauer@gymjh.cz,,,Hlavní město Praha,7,RNDr. Vilém Bauer,2005-01-01,22719806.0
"Smíchovská střední průmyslová škola, gymnázium a hotelová škola Radlická, příspěvková organizace","Smíchovská SPŠ, gymnázium a hotelová škola",061386855,61386855,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Radlická 591,15800,1400.0,979,petr.ruzicka@ssps.cz,,,Hlavní město Praha,7,Ing. Radko Sáblík,2005-01-01,22706941.0
Rakouské gymnázium v Praze o.p.s.,Rakouské gymnázium v Praze o.p.s.,041194462,26155281,C00,Střední škola,Hlavní město Praha,CZ01100,Praha,Na Cikorce 2166,14300,300.0,210,info@oegp.cz,,,,5,Mag. Isabella Haleš,2005-01-01,74073834.0
Střední škola dostihového sportu a jezdectví,SŠ dostihového sportu a jezdectví,108023079,00069621,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,U závodiště 325,15900,300.0,210,reditel@dostihovaskola.cz,,,Hlavní město Praha,7,Ing. Soňa Froňková,2005-01-01,22129201.0
"Střední odborné učiliště, Praha - Radotín","SOU, Praha - Radotín",108023087,00638846,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Pod Klapicí 11,15300,340.0,237,sou@klapice.cz; bicovsky@klapice.cz,,,Hlavní město Praha,7,Ing. Bc. Václav Bičovský,2005-01-01,22045121.0
"Mensa gymnázium, o.p.s.","Mensa gymnázium, o.p.s.",049232886,25058843,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Španielova 1111,16300,198.0,138,info@mensagymnazium.cz,,,,5,Mgr. Magda Kindlová,2005-01-01,22250999.0
"Gymnázium, Praha 5, Nad Kavalírkou 1",Gymnázium,061385298,61385298,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Nad Kavalírkou 100,15000,570.0,399,ruzicka.josef@kavalirka.cz,,,Hlavní město Praha,7,Mgr. Josef Růžička,2005-01-01,22018557.0
Střední škola a vyšší odborná škola umělecká a řemeslná,Střední škola a VOŠ umělecká a řemeslná,014891263,14891263,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Nový Zlíchov 1063,15000,650.0,454,jana.porvichova@ssuar.cz,,,Hlavní město Praha,7,"Ing. Jana Porvichová, Ph.D.",2005-01-01,22763830.0
"Střední průmyslová škola dopravní, a.s.","Střední průmyslová škola dopravní, a.s.",110001885,25632141,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Sazečská 3206,10800,1450.0,1014,sobotka@sps-dopravni.cz,,,,5,Ing. Lukáš Sobotka,2005-01-01,22758356.0
"Gymnázium, střední odborná škola a Pražská taneční konzervatoř, s.r.o.","Gymnázium, SOŠ a Pr. taneční konzervatoř",110007701,25122690,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Za Poříčskou bránou 257,18600,500.0,350,reditel@ptksos.cz,,,,5,Mgr. Petra Šafránková,2005-01-01,22351248.0
"Střední odborná škola, Praha 5, Drtinova 3/498",Střední odborná škola,045248001,45248001,C00,Střední škola,Hlavní město Praha,CZ0105,Praha,Drtinova 498,15000,500.0,350,kancelar@stredniskoladrtinova.cz,,,Hlavní město Praha,7,PaedDr. Pavla Nedomová,2005-01-01,22079611.0
"Gymnázium, Praha 6, Arabská 14",Gymnázium,061386022,61386022,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Arabská 682,16000,670.0,468,ga@gyarab.cz,,,Hlavní město Praha,7,RNDr. Zdeňka Hamhalterová,2005-01-01,22291504.0
"Gymnázium Jana Keplera, Praha 6, Parléřova 2",Gymnázium Jana Keplera,061388246,61388246,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Parléřova 118,16900,600.0,420,gjk@gjk.cz,,,Hlavní město Praha,7,"Mgr. Karel Žďárek, PhD.",2005-01-01,22215352.0
Obchodní akademie a Gymnázium Bubeneč,Obchodní akademie a Gymnázium Bubeneč,061384534,61384534,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Krupkovo náměstí 26,16000,550.0,385,oakrupkovo@oakrupkovo.cz,,,Hlavní město Praha,7,"RNDr. Radka Nováková, Ph.D.",2005-01-01,22175571.0
"Gymnázium, Praha 6, Nad Alejí 1952",Gymnázium,049625446,49625446,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Nad alejí 1952,16200,620.0,434,jiri.benda@alej.cz,,,Hlavní město Praha,7,Mgr. Jiří Benda,2005-01-01,22171096.0
"Střední škola kosmetiky a hotelnictví BEAN, s.r.o.","SŠ kosmetiky a hotelnictví BEAN, s.r.o.",011217731,25059491,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Českobrodská 362,19000,300.0,210,dostal@bean.cz,,,,5,Ing. Jan Dostál,2005-01-01,25480952.0
"Střední odborná škola civilního letectví, Praha - Ruzyně","SOŠ civilního letectví, Praha - Ruzyně",000639494,00639494,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,K letišti 278,16100,400.0,280,info@skolacivilniholetectvi.cz,,,Hlavní město Praha,7,Ing. Ludmila Turečková,2005-01-01,22754920.0
"Obchodní akademie Praha, s.r.o.","Obch. akademie Praha, s.r.o.",060447109,25603698,C00,Střední škola,Hlavní město Praha,CZ01100,Praha,Slezská 1486,13000,612.0,428,vaclavikova@oapraha.cz,,,,5,Ing. Mária Václavíková,2005-01-01,21761558.0
"Vyšší odborná škola pedagogická a sociální, Střední odborná škola pedagogická a Gymnázium, Praha 6, Evropská 33","VOŠ ped. a soc., SOŠ ped. a Gymnázium",061388068,61388068,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Evropská 330,16000,690.0,482,info@pedevropska.cz,,,Hlavní město Praha,7,"Mgr. Ing. Pavel Žďárský, Ph.D.",2005-01-01,22188835.0
"Vyšší odborná škola oděvního návrhářství a Střední průmyslová škola oděvní, Praha 7, Jablonského 3",VOŠ oděvního návrhářství a SPŠ oděvní,061385891,61385891,C00,Střední škola,Hlavní město Praha,CZ0107,Praha,Jablonského 333,17000,440.0,308,monika.telecka@vosonspso.cz,,,Hlavní město Praha,7,Ing. Monika Tělecká,2005-01-01,22298100.0
Trojské gymnázium s.r.o.,Trojské gymnázium s.r.o.,110034741,25142101,C00,Střední škola,Hlavní město Praha,CZ0107,Praha,Trojská 211,17100,280.0,196,tgsc@trojskegymnazium.cz,,,,5,Mgr. Radim Jendřejas,2005-01-01,22314229.0
"Gymnázium, Praha 8, U Libeňského zámku 1",Gymnázium,000336475,61387509,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,U libeňského zámku 1,18000,570.0,399,frantisek.kosina@gulz.cz,,,Hlavní město Praha,7,RNDr. Bc. František Kosina,2005-01-01,22375210.0
Obchodní akademie Hovorčovická,Obchodní akademie,000638501,61388017,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,U vinohradského hřbitova 2471,13000,600.0,420,skola@oahovorcovicka.cz,,,Hlavní město Praha,7,Mgr. Miroslav Včelař,2005-01-01,21767149.0
Gymnázium FOSTRA International s.r.o.,Gymnázium FOSTRA International s.r.o.,108000877,49244884,C00,Střední škola,Hlavní město Praha,CZ0103,Praha,Roháčova 1148,13000,960.0,672,studijni@fostra.cz,,,,5,Mgr.  Světlana Smejkalová,2005-01-01,21778795.0
"Karlínské gymnázium, Praha 8, Pernerova 25",Karlínské gymnázium,000638218,61389064,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Pernerova 273,18600,610.0,427,gymnazium@gyperner.cz,,,Hlavní město Praha,7,PhDr. Jan Hušek,2005-01-01,22351434.0
Karlínská obchodní akademie,Karlínská obchodní akademie,110036204,61388548,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Kollárova 271,18600,510.0,357,reditel@kollarovka.cz,,,Hlavní město Praha,7,Mgr. Petr Žák,2005-01-01,22351400.0
"Gymnázium Přírodní škola, z.ú.","Gymnázium Přírodní škola, z.ú.",108056911,25107500,C00,Střední škola,Hlavní město Praha,CZ01100,Praha,Prusíkova 2577,15500,100.0,70,sekretariat@prirodniskola.cz,,,,5,"RNDr. Marek Matura, Ph.D.",2005-01-01,25206427.0
"Gymnázium, Praha 8, Ústavní 400",Gymnázium,000340383,60460784,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Ústavní 400,18100,730.0,510,sterbova@ggg.cz,,,Hlavní město Praha,7,RNDr. Helena Štěrbová,2005-01-01,79271413.0
"Střední odborná škola sociální, o.p.s.","SOŠ sociální, o.p.s.",000064556,26190508,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Křižíkova 345,18600,90.0,62,sossocialnipraha8@seznam.cz,,,,5,Ing. Jana Lukešová,2005-01-01,22352147.0
"PORG - gymnázium, základní škola a mateřská škola, o.p.s.","PORG - gymnázium, ZŠ a MŠ, o.p.s.",000550591,25698117,C00,Střední škola,Hlavní město Praha,Brno-město,Brno,Mendlovo náměstí 1,60300,2694.0,1885,dluhosova@porg.cz,,,,5,PaedDr. Dagmar Dluhošová,2005-01-01,19101694.0
"PORG - gymnázium, základní škola a mateřská škola, o.p.s.","PORG - gymnázium, ZŠ a MŠ, o.p.s.",151040290,25698117,B00,Základní škola,Hlavní město Praha,Ostrava-město,Ostrava,Rostislavova 1267,70300,1149.0,804,dluhosova@porg.cz,,,,5,PaedDr. Dagmar Dluhošová,2008-01-21,25219499.0
"Královská střední škola, s.r.o.","Královská střední škola, s.r.o.",016499671,25116509,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Svídnická 506,18100,500.0,350,windsorm@skolabohnice.cz,,,,5,Mgr. Monika Windsorová,2005-01-01,22398376.0
Soukromá střední škola gastronomie s.r.o.,Soukr. střední škola gastronomie s.r.o.,102160261,25098250,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Svídnická 599,18100,500.0,350,info@skolagastronomie.eu,,,,5,PaedDr. Tamara Kobyláková,2005-01-01,22399283.0
"ART ECON - Gymnázium a Střední odborná škola Praha, s.r.o.","ART ECON - Gymnázium a SOŠ Praha, s.r.o.",045796955,45796955,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Tomíčkova 2144,14800,856.0,599,praha@artecon.cz,,,,5,Mgr. Petr Procházka,2005-01-01,21847011.0
"TRIVIS - Střední škola veřejnoprávní a Vyšší odborná škola prevence kriminality a krizového řízení Praha, s.r.o.","TRIVIS-SŠ veřejnoprávní a  VOŠ, s.r.o.",049356062,25109138,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Hovorčovická 1281,18200,900.0,630,praha@trivis.cz,,,,5,Mgr. Jan Dalecký,2005-01-01,22370099.0
Církevní střední škola Jana Boska,Církevní střední škola Jana Boska,110380223,48551694,C00,Střední škola,Hlavní město Praha,CZ0108,Praha,Vítkova 15,18600,135.0,94,reditelka@cssjb.cz,,,"Provincie kongregace Dcer Panny Marie Pomocnice, FMA",6,Mgr. Michaela Pitterová,2005-01-01,22348654.0
Gymnázium J. Seiferta o.p.s.,Gymnázium J. Seiferta o.p.s.,016190483,49626931,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Vysočanské náměstí 500,19000,240.0,168,gymjs@gymjs.cz,,,,5,Ing. Arch. Pavlína Pospíšilová,2005-01-01,30490197.0
"Gymnázium, Praha 9, Českolipská 373",Gymnázium,108001342,60445475,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Českolipská 373,19000,720.0,503,info@ceskolipska.cz,,,Hlavní město Praha,7,PaedDr. Věra Ježková,2005-01-01,25936671.0
Střední průmyslová škola zeměměřická a Geografické gymnázium Praha,SPŠ zeměměřická a Geogr. gymnázium Praha,000638404,61386278,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Pod Táborem 300,19000,390.0,273,spszem@spszem.cz,,,Hlavní město Praha,7,Ing. Jan Staněk,2005-01-01,22458115.0
"Gymnázium Čakovice, Praha 9, nám. 25. března 100",Gymnázium Čakovice,108001270,61387835,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,náměstí 25. března 100,19600,300.0,210,kancelar@gymcak.cz,,,Hlavní město Praha,7,Mgr. Iva Nosková,2005-01-01,22405631.0
"The English College in Prague - Anglické gymnázium, o.p.s.","The English College-Angl.gymnázium,o.p.s",108001369,25719815,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Špitálská 885,19000,440.0,308,office@englishcollege.cz,,,,5,Dr. Nigel Brown,2005-01-01,25154524.0
"SOUKROMÁ STŘEDNÍ UMĚLECKÁ ŠKOLA DESIGNU, s.r.o.",Soukr.střední umělecká škola designu,011233354,48589373,C00,Střední škola,Hlavní město Praha,CZ0106,Praha,Žalanského 68,16300,100.0,70,skoladesign@skoladesign.cz,,,,5,MgA. Zbyněk Linhart,2005-01-01,22244077.0
"Gymnázium, Praha 9, Chodovická 2250",Gymnázium,108001288,49371185,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Vybíralova 964,19800,588.0,411,gymnchod@gymnchod.cz,,,Hlavní město Praha,7,Mgr. Zuzana Suchomelová,2005-01-01,22710728.0
"Vyšší odborná škola informačních studií a Střední škola elektrotechniky, multimédií a informatiky","VOŠ inf.studií a SŠ el.,multimédií a inf",014891409,14891409,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Novovysočanská 280,19000,600.0,420,reditel@ssemi.cz,,,Hlavní město Praha,7,"Ing. Marcela Davídková Antošová, CSc.",2005-01-01,22542884.0
Soukromá střední škola výpočetní techniky s.r.o.,Soukr. SŠ výpočetní techniky s.r.o.,108001491,62913981,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Litvínovská 600,19000,480.0,336,sssvt@sssvt.cz,,,,5,Ing. Martin Vodička,2005-01-01,22507400.0
"Gymnázium, Praha 9, Litoměřická 726",Gymnázium,000638170,61387061,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Litoměřická 726,19000,660.0,461,reditelka@gymlit.cz,,,Hlavní město Praha,7,PhDr. Jaroslava Najnarová,2005-01-01,22508635.0
Střední odborná škola Jarov,Střední odborná škola Jarov,000300268,00300268,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Pod Táborem 17,19000,1700.0,1190,sekret@skolajarov.cz,,,Hlavní město Praha,7,Mgr. Miloslav Janeček,2005-01-01,22500600.0
"Střední škola hotelnictví a gastronomie SČMSD Praha, s.r.o.","Střední škola SČMSD Praha, s.r.o.",110380339,49615378,C00,Střední škola,Hlavní město Praha,CZ0109,Praha,Slavětínská 82,19014,730.0,510,jurikova@hotelova-skola.cz,,,,5,Mgr. Eva Juríková,2005-01-01,22469028.0
